busNumber;busQuantity;totalDistance
101;10;20
102;5;15
103;5;15
104;5;15
105;5;15
106;5;15
201;5;15
202;0;15
203;0;15
204;0;15
205;0;15
206;0;15
301;5;25
302;0;15
303;0;15
304;0;15
305;0;15
306;0;15
401;0;15
402;0;15
403;0;15
404;0;15
405;0;15
406;0;15
501;0;15
502;0;15
503;0;15
504;0;15
505;0;15
506;0;15
601;0;15
602;0;15
603;0;15
604;0;15
605;0;15
606;0;15
701;0;15
702;0;15
703;0;15
704;0;15
705;0;15
706;0;15
801;0;15
802;0;15
803;0;15
804;0;15
805;0;15
806;0;15
901;0;15
902;0;15
903;0;15
904;0;15
905;0;15
906;0;15
