"BusID";"BusNumber";"BusDirection";"RecPercentage";"AverageSpeed"
"1";"101";"South";"890";"36"
"2";"101";"South";"647";"44"
"3";"101";"South";"707";"32"
"4";"101";"North";"500";"45"
"5";"101";"South";"85";"23"
"6";"102";"South";"73";"32"
"7";"102";"South";"934";"31"
"8";"102";"North";"964";"45"
"9";"102";"North";"572";"41"
"10";"102";"North";"188";"45"
"11";"103";"North";"125";"28"
"12";"103";"South";"623";"26"
"13";"103";"North";"26";"32"
"14";"103";"South";"116";"42"
"15";"103";"South";"414";"24"
"16";"104";"North";"876";"40"
"17";"104";"South";"403";"37"
"18";"104";"South";"528";"43"
"19";"104";"South";"969";"40"
"20";"104";"South";"978";"33"
"21";"105";"South";"622";"28"
"22";"105";"North";"290";"34"
"23";"105";"North";"64";"37"
"24";"105";"South";"392";"25"
"25";"105";"North";"645";"39"
"26";"106";"North";"785";"26"
"27";"106";"North";"954";"37"
"28";"106";"South";"503";"34"
"29";"106";"South";"74";"24"
"30";"106";"South";"586";"30"
"31";"201";"North";"576";"43"
"32";"201";"North";"910";"35"
"33";"201";"South";"871";"29"
"34";"201";"South";"633";"30"
"35";"201";"North";"60";"35"
"36";"202";"North";"953";"37"
"37";"202";"North";"426";"44"
"38";"202";"South";"838";"45"
"39";"202";"North";"532";"29"
"40";"202";"North";"481";"26"
"41";"203";"North";"873";"33"
"42";"203";"South";"148";"34"
"43";"203";"South";"811";"21"
"44";"203";"South";"52";"34"
"45";"203";"South";"375";"35"
"46";"204";"North";"604";"36"
"47";"204";"South";"340";"20"
"48";"204";"South";"731";"35"
"49";"204";"North";"946";"41"
"50";"204";"South";"704";"41"
"51";"205";"North";"953";"28"
"52";"205";"North";"563";"20"
"53";"205";"South";"387";"45"
"54";"205";"North";"582";"37"
"55";"205";"South";"20";"35"
"56";"206";"North";"473";"43"
"57";"206";"South";"965";"40"
"58";"206";"North";"965";"22"
"59";"206";"South";"993";"34"
"60";"206";"South";"885";"22"
"61";"301";"South";"642";"25"
"62";"301";"South";"766";"22"
"63";"301";"North";"435";"25"
"64";"301";"North";"775";"26"
"65";"301";"North";"906";"31"
"66";"302";"North";"313";"32"
"67";"302";"South";"349";"33"
"68";"302";"South";"83";"32"
"69";"302";"South";"620";"34"
"70";"302";"South";"787";"24"
"71";"303";"South";"840";"22"
"72";"303";"North";"486";"26"
"73";"303";"South";"751";"23"
"74";"303";"South";"282";"23"
"75";"303";"South";"64";"40"
"76";"304";"South";"486";"30"
"77";"304";"South";"364";"43"
"78";"304";"North";"148";"44"
"79";"304";"North";"835";"33"
"80";"304";"North";"493";"43"
"81";"305";"North";"933";"38"
"82";"305";"South";"826";"33"
"83";"305";"North";"346";"37"
"84";"305";"South";"229";"43"
"85";"305";"South";"709";"40"
"86";"306";"North";"291";"29"
"87";"306";"North";"101";"41"
"88";"306";"North";"213";"33"
"89";"306";"North";"740";"29"
"90";"306";"North";"485";"44"
"91";"401";"South";"390";"39"
"92";"401";"South";"386";"23"
"93";"401";"South";"28";"43"
"94";"401";"North";"695";"31"
"95";"401";"South";"497";"25"
"96";"402";"South";"89";"22"
"97";"402";"North";"343";"42"
"98";"402";"North";"786";"20"
"99";"402";"South";"225";"35"
"100";"402";"North";"576";"38"
"101";"403";"North";"279";"27"
"102";"403";"North";"472";"36"
"103";"403";"North";"397";"32"
"104";"403";"South";"89";"24"
"105";"403";"North";"380";"41"
"106";"404";"North";"446";"29"
"107";"404";"North";"560";"27"
"108";"404";"North";"180";"20"
"109";"404";"North";"407";"41"
"110";"404";"North";"135";"26"
"111";"405";"North";"361";"31"
"112";"405";"North";"490";"24"
"113";"405";"North";"244";"41"
"114";"405";"South";"199";"42"
"115";"405";"South";"868";"44"
"116";"406";"North";"558";"23"
"117";"406";"North";"379";"43"
"118";"406";"North";"502";"45"
"119";"406";"North";"492";"27"
"120";"406";"South";"433";"41"
"121";"501";"South";"506";"34"
"122";"501";"South";"330";"43"
"123";"501";"North";"177";"42"
"124";"501";"North";"897";"28"
"125";"501";"South";"414";"45"
"126";"502";"North";"940";"42"
"127";"502";"South";"99";"40"
"128";"502";"North";"36";"22"
"129";"502";"North";"143";"22"
"130";"502";"South";"233";"21"
"131";"503";"South";"308";"44"
"132";"503";"North";"581";"21"
"133";"503";"North";"182";"30"
"134";"503";"South";"378";"39"
"135";"503";"South";"505";"22"
"136";"504";"South";"61";"36"
"137";"504";"North";"475";"45"
"138";"504";"South";"564";"33"
"139";"504";"North";"535";"20"
"140";"504";"North";"219";"23"
"141";"505";"North";"25";"22"
"142";"505";"South";"813";"39"
"143";"505";"South";"116";"36"
"144";"505";"North";"395";"22"
"145";"505";"South";"996";"42"
"146";"506";"South";"827";"28"
"147";"506";"South";"902";"39"
"148";"506";"North";"719";"29"
"149";"506";"South";"499";"20"
"150";"506";"South";"242";"20"
"151";"601";"North";"105";"31"
"152";"601";"South";"875";"27"
